CDASISTE,CDBANCO,CDCAUSA_GESTOC,CDCOBERT,CDCONTRA,CDCUENTA,CDDIVFAC,CDDIVGRP,CDDIVISA,CDENTIDA,CDESTADO,CDFORPAG,CDGARANT,CDIBAN,CDIMPUES,CDMOTREC,CDNUDSAP,CDPROVEE,CDRETENC,CDSERVIC,CDSUCURS,CDTPMOVI,CDUNIMOV,CDUSUALT,CDUSUMOD,CDVIAPAG,DSGESTOC_AUT,FEPAGSAP,FHALTA,FHAUTORIZA,FHINTERF,FHULTMOD,IMESTCTV,IMESTDIV,IMESTGRP,IMFACCTV,IMFACDIV,IMFACGRP,IMICTSAP,IMIMPSAP,IMNCTSAP,IMNETSAP,IMPAGCTV,IMPAGDIV,IMPAGGRP,NUORDEN,PCDESCUE,RGCUENTA,RGEMPLEA,RGENVIO,RGFACREF,RGFACTUR,RGMOVIMI,RGMOVIMI_R,RGPERSON,RGPRESTA,RGRECIBI,RGSUPLEM,SWACUPRO,SWCONFIR,SWDESCUE,SWESTVEN,SWGARCOM,SWGESTOC,SWIVA,SWIVAINC,SWPDTPRO,SWREEMBO,SWVISAUT,TPFRADED,TPMOVPRC,REPLACE(REPLACE(REPLACE(TXDESCRI,',',''),CHR(10),''),CHR(10),''),REPLACE(REPLACE(REPLACE(TXDOMICI,',',''),CHR(10),''),CHR(10),'');
119068811,,,A00,40010002000114,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000249017,114560,02,0,,C,,AJLUPI1,NONTIVE,,,22-MAY-19,18-FEB-19,,07-MAY-19,23-MAY-19,951,951,19.01,948.28,948.28,18.96,19.45,948.28,16.07,783.7,948.28,948.28,18.96,1,,,,2636,,172144,6666358,,375818,10049233,6505,1,N,S,N,N,,N,S,S,N,N,S,,P,AZCUÉNAGA 3121  B1662CQR MUÑIZ  BUENOS AIRES  ARGENTINA /// BARRIO EL FARO  ASCUENAGA 3121 SAN MIGEL  BUENOS AIRES UN PAX DOMICILIO,;
119070899,,,A00,40010002000053,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000249837,114637,02,200,,C,,FLAVIAL,IDSANC1,,,19-JUN-19,18-FEB-19,,07-JUN-19,21-JUN-19,424,424,8.59,423.13,423.13,8.57,8.47,423.13,7,349.7,423.13,423.13,8.57,1,,,,2655,,173112,6666490,,377207,10049366,6547,0,N,S,N,N,,N,S,S,N,N,S,,P,MECANICA LIGERA,;
119070910,,,A00,40010002000054,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000247660,114299,02,200,,C,,CMULLER,NONTIVE,,,10-APR-19,18-FEB-19,,22-MAR-19,11-APR-19,566,566,11.57,565.55,565.55,11.56,12.8,565.55,10.58,467.4,565.55,565.55,11.56,1,,,,2615,,170165,6666500,,373314,10049376,6436,0,N,S,N,N,,N,S,S,N,N,S,,P,PTE DE BAT VH EN LA CALLE,;
119070886,,,A00,40010002000088,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000248577,114718,02,200,,C,114718-001,AMA_ARGENTINA,NONTIVE,,,08-MAY-19,18-FEB-19,,26-APR-19,09-MAY-19,346,346,6.82,345.15,345.15,6.8,7.21,345.15,5.96,285.25,345.15,345.15,6.8,1,,,487,2632,,171576,6666502,,378558,10049348,6472,0,N,S,N,N,,N,S,S,N,N,S,,P,MECANICA LIGERA,;
119070917,,,A00,40010002000053,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000249643,114637,02,200,,C,,GAPARD1,IDSANC1,,,12-JUN-19,18-FEB-19,,27-MAY-19,13-JUN-19,424,424,8.36,423.13,423.13,8.34,8.66,423.13,7.16,349.7,423.13,423.13,8.34,1,,,,2648,,172387,6666508,,377207,10049383,6535,0,N,S,N,N,,N,S,S,N,N,S,,P,RIS NEUM,;
119070925,,,A00,40010002000113,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000246726,113699,02,200,,C,113699-002,AMA_ARGENTINA,NONTIVE,,,13-MAR-19,18-FEB-19,,25-FEB-19,15-MAR-19,441,441,9.49,440.5,440.5,9.48,10.31,440.5,8.52,364.05,440.5,440.5,9.48,1,,,341,2602,,169436,6666520,,256366,10049394,6400,1,N,M,N,N,,N,S,S,N,N,S,,P,MECANICA LIGERA,;
119070960,,,A00,40010002000088,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247729,114710,02,0,,C,,MSFARIA,HERAMAR,,,10-APR-19,18-FEB-19,,21-MAR-19,11-APR-19,4467.32,4467.32,91.31,4467.32,4467.32,91.31,100.37,4467.32,82.95,3692,4467.32,4467.32,91.31,1,,,,2614,,170209,6666554,,378466,10049427,6436,0,N,S,N,N,,N,S,S,N,N,S,,P,CALLE 25 Y 160 // DOM DE ASE,;
119070972,,,A00,40010002000113,,ARS,EUR,ARS,1,P,,A0040,,C1,,2000247721,113800,02,200,,C,,EFRAINE,NONTIVE,,,10-APR-19,18-FEB-19,,22-MAR-19,11-APR-19,389.32,389.32,7.96,353.93,353.93,7.23,7.95,353.93,6.57,292.5,353.93,353.93,7.23,1,,,,2615,,170327,6666573,,304686,10049442,6436,1,N,M,N,N,,N,S,S,N,N,S,,P,RIS BATERIA,;
119070967,,,A00,40010002000054,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247892,110842,02,0,,C,,SFILIPP,IDSANC1,,,17-APR-19,18-FEB-19,,11-APR-19,22-APR-19,5556.26,5556.26,115.96,5556.26,5556.26,115.96,114.27,5556.26,94.44,4591.95,5556.26,5556.26,115.96,2,,,,2626,,170867,6666576,,115323,10049444,6448,0,N,S,N,N,,N,S,S,N,N,S,,P,COORDINAR PARA MAÑANA A LA 8HS,;
119070989,,,A00,40010002000088,,ARS,EUR,ARS,1,P,,A0020,,CM,,2000247498,114597,50,0,,C,,EFRAINE,IDSANC1,,,03-APR-19,18-FEB-19,,03-APR-19,08-APR-19,881.75,881.75,18.08,881.75,881.75,18.08,18.12,881.75,18.12,881.75,881.75,881.75,18.08,1,,,,2622,,170712,6666590,,376338,10049460,6430,0,N,S,N,N,,N,S,S,N,N,S,,P,REMOLQUE,;
119071011,,,A00,40010002000053,,ARS,EUR,ARS,1,P,,A0020,,CM,,2000247498,114597,50,0,,C,,EFRAINE,IDSANC1,,,03-APR-19,18-FEB-19,,03-APR-19,08-APR-19,881.75,881.75,18.08,881.75,881.75,18.08,18.12,881.75,18.12,881.75,881.75,881.75,18.08,1,,,,2622,,170712,6666621,,376338,10049488,6430,0,N,S,N,N,,N,S,S,N,N,S,,P,FIORUCCI 372 (TALLER  LO DEJA AFUERA),;
119021585,,,A00,400100020000087,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247523,114889,02,0,,C,,RSARABE,NONTIVE,,,03-APR-19,15-JAN-19,,27-MAR-19,08-APR-19,524,524,10.74,523.02,523.02,10.72,11.75,523.02,9.71,432.25,523.02,523.02,10.72,1,,,,2617,,169569,6604451,,381538,9987637,6430,0,N,S,N,N,,N,S,S,N,N,S,,P,REMOLQUE,;
119021682,,,A00,40010002000054,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000246753,114209,02,0,,C,,MVBORGE,NONTIVE,,,13-MAR-19,16-JAN-19,,11-MAR-19,15-MAR-19,458.17,458.17,9.86,458.05,458.05,9.85,10.29,458.05,8.5,378.55,458.05,458.05,9.85,1,,,,2608,,169709,6604554,,372641,9987756,6400,0,N,M,N,N,,N,S,S,N,N,S,,P,RUTA 16 KM 1005 // TALLER,;
119021679,,,A00,40010002001036,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247273,114560,02,0,,C,,GOROSIT,NONTIVE,,,27-MAR-19,16-JAN-19,,11-MAR-19,28-MAR-19,1299.12,1299.12,26.97,1188.7,1188.7,24.68,26.9,1188.7,26.9,1188.7,1188.7,1188.7,24.68,1,,,,2608,,169759,6604548,,375818,9987750,6421,0,N,M,N,N,,N,S,S,N,N,S,,P,JUAN B. JUSTO 1639  TALLER PARA LAS 8 APROX,;
119021250,,,A00,40010002000703,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000245874,110787,02,0,,C,,NATANJE,NONTIVE,,,13-FEB-19,15-JAN-19,,25-JAN-19,14-FEB-19,869.33,869.33,20.19,869.32,869.32,20.19,20.15,869.32,16.65,718.45,869.32,869.32,20.19,1,,,,2580,,168345,6604027,,115201,9987196,6358,0,N,M,N,N,,N,S,S,N,N,S,,P, GOMERIA DE ZONA // 1PAZ,;
119021247,,,A00,40010002000053,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247679,113747,02,0,,C,,BONETT1,NONTIVE,,,10-APR-19,15-JAN-19,,22-MAR-19,11-APR-19,2347,2347,47.97,2346.07,2346.07,47.95,52.71,2346.07,43.56,1938.9,2346.07,2346.07,47.95,1,,,,2615,,169707,6604024,,285506,9987194,6436,0,N,S,N,N,,N,S,S,N,N,S,,P,RUTA 9  ASE INDICA  CONSEC CHEVROLET. HASTA 20 HS,;
119021344,,,A00,40010002000088,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000247384,113913,02,0,,C,113913-002,AMA_ARGENTINA,NONTIVE,,,28-MAR-19,15-JAN-19,,25-FEB-19,01-APR-19,737.92,737.92,15.03,737.92,737.92,15.03,17.28,737.92,14.28,609.85,737.92,737.92,15.03,1,,,322,2602,,169552,6604146,,345906,9987312,6424,0,N,S,N,N,,N,S,S,N,N,S,,P,REMOLQUE,;
119021383,,,A00,40010002000055,,ARS,EUR,ARS,1,P,,A0020,,C1,,2000245872,111005,02,0,,C,,NMSANC1,NONTIVE,,,13-FEB-19,15-JAN-19,,07-FEB-19,14-FEB-19,1734,1734,40.26,1733.63,1733.63,40.25,40.79,1733.63,33.71,1432.75,1733.63,1733.63,40.25,1,,,,2590,,168388,6604175,,115486,9987347,6358,0,N,S,N,N,,N,S,S,N,N,S,,P,ACCESO ESTE 1029 - SU DOMICILIO- 2 PAX,;
